Month,Depth_range,replicate,C,N,OM,LOI,pH,NH4-N
June,0-20,a,37.43,2.35,74.86,62.560683539387654,4.46,3.813536753255546
June,0-20,b,35.21,2.35,70.42,79.04360056258788,4.73,14.573529411764705
June,20-40,a,21.44,1.04,42.88,34.431146615983124,4.73,7.34378936759889
June,20-40,b,18.53,0.98,37.06,42.70300965360588,4.76,8.325000000000001
June,40-60,a,37.47,1.93,74.94,71.99664173408638,4.53,37.906008328375975
June,40-60,b,28.88,1.5,57.76,70.8899676375404,4.78,31.170731707317074
June,60-80,a,17.66,0.94,35.32,32.379219060225026,4.93,73.68190854870775
June,60-80,b,18.1,0.96,36.2,60.59665292262915,5.15,119.09547738693468
June,80-100,a,15.93,0.99,31.86,31.05794947994055,5.04,240.01158972377826
June,80-100,b,20.67,1.29,41.34,39.08862456022783,5.12,247.3170731707317
August,0-20,a,39.92,2.98,79.84,77.6415615736321,6.18,2658.949079089925
August,0-20,b,27.73,1.81,55.46,62.11948720487055,4.95,2.535
August,20-40,a,31.53,1.71,63.06,51.91236137408711,5.06,56.90582048793698
August,20-40,b,17.56,0.87,35.12,30.80445350478278,5.12,14.743718592964825
August,40-60,a,34.03,1.89,68.06,62.383925971462794,5.17,150.44578571647418
August,40-60,b,31.4,1.77,62.8,74.10522843476826,4.98,35.303030303030305
August,60-80,a,31.96,1.93,63.92,57.00653594771241,5.22,129.66635348734386
August,60-80,b,30.9,1.77,61.8,66.47456133910875,4.79,252.4752475247525
August,80-100,a,22.72,1.34,45.44,44.221698113207545,4.74,82.87516847049211
August,80-100,b,27.76,1.6,55.52,49.76608561907204,4.86,210.7317073170732
October,0-20,a,39.09,1.46,78.18,NA,4.19,134.03726708074532
October,0-20,b,27.12,1.63,54.24,82.91246684350129,5.18,33.38235294117647
October,20-40,a,37.29,2.48,74.58,62.935300998830186,5.14,536.0302301614568
October,20-40,b,32.02,2.12,64.04,79.79320669972869,4.68,4.606060606060606
October,40-60,a,26.74,1.41,53.48,55.077837803279735,4.37,53.74235403151066
October,40-60,b,23.11,1.28,46.22,48.235790567078936,4.85,12.765
October,60-80,a,34.01,1.9,68.02,70.53848933863387,4.41,197.80540540540534
October,60-80,b,32.6,1.85,65.2,75.06948063227377,4.73,159
October,80-100,a,25.22,1.49,50.44,54.68520513071574,5.34,381.02151931553027
October,80-100,b,28.38,1.65,56.76,60.83197721724984,5.03,185.85365853658536
